"Help improving the list! Add your findings (Form Link)
Other Feedback/Suggestions/Discoveries? You can reach out to me on Discord: prototyze AVG%","r-Index","Technology Node","Unlock
Tech Pts.","Reverse
Tech Pts.","Minimum
Tech Level","","","TL#","Invention Tech %","","Component 1","","Legend: ","","Component 2","TL = Tech Level | r-Index = Quality of Invention, based on Quantity of Components used & their Rarity (Common-Legendary)
The lower an r-Index with same Invention Tech % is at a specific Tech Level, the better (fewer resources used for Invention) ","","","Component 3","","","","Component 4","","","","Component 5","","","","Component 6","",""
"95%","0.95","Large Garage","4,000","1,330","Tech Level 4","","","4","Medium","33%","10","","Tungsten Ingot","220%","11","","Electronic Part","33%","13","","Part","","","","","","","","","","","",""
"75%","0.75","Large Garage","4,000","1,330","Tech Level 4","","","6","Medium","83%","25","","Tungsten Ingot","60%","3","","Electronic Part","83%","33","","Part","","","","","","","","","","","",""
"75%","0.75","Large Garage","4,000","1,330","Tech Level 4","","","8","Medium","83%","25","","Tungsten Ingot","60%","3","","Electronic Part","83%","33","","Part","","","","","","","","","","","",""
"75%","0.75","Large Garage","4,000","1,330","Tech Level 4","","","10","Medium","83%","25","","Tungsten Ingot","60%","3","","Electronic Part","83%","33","","Part","","","","","","","","","","","",""
"75%","0.75","Large Garage","4,000","1,330","Tech Level 4","","","12","Medium","83%","25","","Tungsten Ingot","60%","3","","Electronic Part","83%","33","","Part","","","","","","","","","","","",""
"100%","0.00","Large Hydropower Generator","4,000","1,330","Nope","","","0","Default","100%","80","","Tungsten Ingot","100%","30","","Electronic Part","100%","30","","Part","100%","30","","Plastic","100%","8","","Fuse","100%","1","","Diode"
"100%","0.00","Large Solar Generator","4,000","1,330","Nope","","","0","Default","100%","50","","Tungsten Ingot","100%","15","","Electronic Part","100%","10","","Glass","100%","10","","Plastic","100%","5","","Fuse","100%","1","","Diode"
"100%","0.00","Mining Platform","4,000","1,330","Tech Level 4","","","0","Default","100%","50","","Tungsten Ingot","100%","30","","Electronic Part","100%","15","","Metal Scrap","100%","15","","Adhesive","100%","1","","Power Cable","100%","4","","Storage Battery"
"47%","0.62","Mining Platform","4,000","1,330","Tech Level 4","","","4","Low","32%","16","","Tungsten Ingot","33%","10","","Electronic Part","33%","5","","Metal Scrap","33%","5","","Adhesive","100%","1","","Power Cable","50%","2","","Storage Battery"
"55%","0.69","Mining Platform","4,000","1,330","Tech Level 4","","","4","Medium","82%","41","","Tungsten Ingot","33%","10","","Electronic Part","33%","5","","Metal Scrap","33%","5","","Adhesive","100%","1","","Power Cable","50%","2","","Storage Battery"
"48%","0.62","Mining Platform","4,000","1,330","Tech Level 4","","","6","Medium","32%","16","","Tungsten Ingot","37%","11","","Electronic Part","33%","5","","Metal Scrap","33%","5","","Adhesive","100%","1","","Power Cable","50%","2","","Storage Battery"
"56%","0.69","Mining Platform","4,000","1,330","Tech Level 4","","","8","Medium","82%","41","","Tungsten Ingot","37%","11","","Electronic Part","33%","5","","Metal Scrap","33%","5","","Adhesive","100%","1","","Power Cable","50%","2","","Storage Battery"
"64%","1.05","Mining Platform","4,000","1,330","Tech Level 4","","","9","Medium","32%","16","","Tungsten Ingot","37%","11","","Electronic Part","33%","5","","Metal Scrap","33%","5","","Adhesive","200%","2","","Power Cable","50%","2","","Storage Battery"
"64%","1.05","Mining Platform","4,000","1,330","Tech Level 4","","","10","Medium","32%","16","","Tungsten Ingot","37%","11","","Electronic Part","33%","5","","Metal Scrap","33%","5","","Adhesive","200%","2","","Power Cable","50%","2","","Storage Battery"
"64%","1.05","Mining Platform","4,000","1,330","Tech Level 4","","","11","Medium","32%","16","","Tungsten Ingot","37%","11","","Electronic Part","33%","5","","Metal Scrap","33%","5","","Adhesive","200%","2","","Power Cable","50%","2","","Storage Battery"
"64%","1.05","Mining Platform","4,000","1,330","Tech Level 4","","","12","Medium","32%","16","","Tungsten Ingot","33%","10","","Electronic Part","33%","5","","Metal Scrap","33%","5","","Adhesive","200%","2","","Power Cable","50%","2","","Storage Battery"
"90%","0.91","Mining Platform","4,000","1,330","Tech Level 4","","","12","High","82%","41","","Tungsten Ingot","83%","25","","Electronic Part","87%","13","","Metal Scrap","87%","13","","Adhesive","100%","1","","Power Cable","100%","4","","Storage Battery"
"100%","0.00","Veil of Tranquility","4,000","","Tech Level 4","","","0","Default","100%","120","","Stardust Ingot","100%","40","","Electronic Part","100%","30","","Part","100%","1","","Power Cable","","","","","","","",""
"49%","0.52","Veil of Tranquility","4,000","","Tech Level 4","","","4","Medium","31%","37","","Stardust Ingot","33%","13","","Electronic Part","33%","10","","Part","100%","1","","Power Cable","","","","","","","",""
"%","0.00","Veil of Tranquility","4,000","","Tech Level 4","","","8","Medium","%","","","Stardust Ingot","%","","","Electronic Part","%","","","Part","%","","","Power Cable","","","","","","","",""
"100%","0.00","Weapon Rack","4,000","1,330","Tech Level 4","","","0","Default","100%","10","","Copper Ingot","100%","5","","Steel Alloy","","","","","","","","","","","","","","","",""
"%","0.00","Weapon Rack","4,000","1,330","Tech Level 4","","","4","Medium","%","","","Copper Ingot","%","","","Steel Alloy","","","","","","","","","","","","","","","",""
"40%","0.40","Weapon Rack","4,000","1,330","Tech Level 4","","","4","Low","40%","4","","Copper Ingot","40%","2","","Steel Alloy","","","","","","","","","","","","","","","",""
"75%","0.75","Weapon Rack","4,000","1,330","Tech Level 4","","","8","Medium","90%","9","","Copper Ingot","60%","3","","Steel Alloy","","","","","","","","","","","","","","","",""
"80%","0.80","Weapon Rack","4,000","1,330","Tech Level 4","","","8","Medium","60%","6","","Copper Ingot","100%","5","","Steel Alloy","","","","","","","","","","","","","","","",""
"60%","0.60","Weapon Rack","4,000","1,330","Tech Level 4","","","12","Medium","60%","6","","Copper Ingot","60%","3","","Steel Alloy","","","","","","","","","","","","","","","",""
"100%","0.00","Backpack Expansion","1,500","100","Tech Level 4","","","0","Default","100%","5","","Rawhide","100%","10","","Stardust Source","100%","15","","Gold Ore","100%","15","","Rubber","","","","","","","",""
"%","0.00","Backpack Expansion","1,500","100","Tech Level 4","","","4","Medium","%","","","Rawhide","%","","","Stardust Source","%","","","Gold Ore","%","","","Rubber","","","","","","","",""
"57%","0.57","Backpack Expansion","1,500","100","Tech Level 4","","","4","Low","60%","3","","Rawhide","60%","6","","Stardust Source","53%","8","","Gold Ore","53%","8","","Rubber","","","","","","","",""
"100%","0.00","Combo Chipset","1,500","","Tech Level 2","","","0","Default","100%","40","","Stardust Source","100%","40","","Electronic Part","100%","60","","Part","100%","60","","Metal Scrap","","","","","","","",""
"32%","0.32","Combo Chipset","1,500","","Tech Level 2","","","4","Medium","33%","13","","Stardust Source","33%","13","","Electronic Part","32%","19","","Part","32%","19","","Metal Scrap","","","","","","","",""
"32%","0.32","Combo Chipset","1,500","","Tech Level 2","","","12","Medium","33%","13","","Stardust Source","33%","13","","Electronic Part","32%","19","","Part","32%","19","","Metal Scrap","","","","","","","",""
"","","Improved Compound Fertilizer","1,500","100","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"100%","0.00","Red Plasma Round","1,500","100","Tech Level 4","","","0","Default","100%","60","","Tungsten Ingot","100%","20","","Stardust Source","100%","5","","Gold Ore","100%","2","","Barreled Premium Fuel","","","","","","","",""
"52%","0.37","Red Plasma Round","1,500","100","Tech Level 4","","","4","Low","32%","19","","Tungsten Ingot","35%","7","","Stardust Source","40%","2","","Gold Ore","100%","2","","Barreled Premium Fuel","","","","","","","",""
"","","Cold Crystal Ore Refinery","1,050","","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"100%","0.00","Electronic Grabber","1,050","40","Tech Level 2","","","0","Default","100%","10","","Stardust Source","100%","30","","Gold Ore","100%","10","","Adhesive","100%","5","","Rubber","","","","","","","",""
"38%","0.37","Electronic Grabber","1,050","40","Tech Level 2","","","2","Low","40%","4","","Stardust Source","33%","10","","Gold Ore","40%","4","","Adhesive","40%","2","","Rubber","","","","","","","",""
"66%","0.76","Electronic Grabber","1,050","40","Tech Level 2","","","2","Medium","130%","13","","Stardust Source","33%","10","","Gold Ore","40%","4","","Adhesive","60%","3","","Rubber","","","","","","","",""
"128%","0.97","Electronic Grabber","1,050","40","Tech Level 2","","","4","Medium","130%","13","","Stardust Source","33%","10","","Gold Ore","130%","13","","Adhesive","220%","11","","Rubber","","","","","","","",""
"129%","0.99","Electronic Grabber","1,050","40","Tech Level 2","","","6","Medium","130%","13","","Stardust Source","37%","11","","Gold Ore","130%","13","","Adhesive","220%","11","","Rubber","","","","","","","",""
"129%","0.99","Electronic Grabber","1,050","40","Tech Level 2","","","8","Medium","130%","13","","Stardust Source","37%","11","","Gold Ore","130%","13","","Adhesive","220%","11","","Rubber","","","","","","","",""
"100%","0.00","Improved Large Biomass Generator","1,050","355","Tech Level 4","","","0","Default","100%","40","","Tungsten Ingot","100%","180","","Silver Ore","100%","15","","Part","100%","30","","Electronic Part","100%","5","","Fuse","100%","1","","Custom Cable"
"45%","0.65","Improved Large Biomass Generator","1,050","355","Tech Level 4","","","4","Medium","33%","13","","Tungsten Ingot","31%","55","","Silver Ore","33%","5","","Part","33%","10","","Electronic Part","40%","2","","Fuse","100%","1","","Custom Cable"
"47%","0.67","Improved Large Biomass Generator","1,050","355","Tech Level 4","","","8","Medium","35%","14","","Tungsten Ingot","31%","55","","Silver Ore","40%","6","","Part","37%","11","","Electronic Part","40%","2","","Fuse","100%","1","","Custom Cable"
"46%","0.66","Improved Large Biomass Generator","1,050","355","Tech Level 4","","","12","Medium","33%","13","","Tungsten Ingot","31%","55","","Silver Ore","33%","5","","Part","37%","11","","Electronic Part","40%","2","","Fuse","100%","1","","Custom Cable"
"","","Advanced Boost Feed","1,000","75","Tech Level 2","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Flight Tech","1,000","75","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"100%","0.00","Wildfire Flamethrower","1,000","75","Tech Level 4","","","0","Default","100%","20","","Stardust Ingot","100%","20","","Stardust Source","100%","50","","Silver Ore","100%","30","","Part","100%","15","","Barreled Premium Fuel","","","",""
"34%","0.35","Wildfire Flamethrower","1,000","","Tech Level 4","","","4","Low","35%","7","","Stardust Ingot","35%","7","","Stardust Source","32%","16","","Silver Ore","33%","10","","Part","33%","5","","Barreled Premium Fuel","","","",""
"38%","0.35","Wildfire Flamethrower","1,000","","Tech Level 4","","","4","Medium","35%","7","","Stardust Ingot","35%","7","","Stardust Source","52%","26","","Silver Ore","33%","10","","Part","33%","5","","Barreled Premium Fuel","","","",""
"34%","0.35","Wildfire Flamethrower","1,000","","Tech Level 4","","","8","Medium","35%","7","","Stardust Ingot","35%","7","","Stardust Source","32%","16","","Silver Ore","37%","11","","Part","33%","5","","Barreled Premium Fuel","","","",""
"100%","0.00","Stardust Refinery","800","","Tech Level 2","","","0","Default","100%","45","","Steel Ingot","100%","50","","Stardust Source","100%","30","","Electronic Part","100%","40","","Part","100%","20","","Fiber","100%","1","","Power Cable"
"44%","0.49","Stardust Refinery","800","","Tech Level 2","","","2","Low","31%","14","","Steel Ingot","32%","16","","Stardust Source","33%","10","","Electronic Part","33%","13","","Part","35%","7","","Fiber","100%","1","","Power Cable"
"47%","0.51","Stardust Refinery","800","","Tech Level 2","","","2","Medium","31%","14","","Steel Ingot","32%","16","","Stardust Source","33%","10","","Electronic Part","53%","21","","Part","35%","7","","Fiber","100%","1","","Power Cable"
"61%","0.74","Stardust Refinery","800","","Tech Level 2","","","12","Medium","31%","14","","Steel Ingot","32%","16","","Stardust Source","33%","10","","Electronic Part","33%","13","","Part","35%","7","","Fiber","200%","2","","Power Cable"
"","","Tungsten Ingot","740","75","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"100%","0.00","Electric Furnace","720","240","Tech Level 2","","","0","Default","100%","50","","Steel Ingot","100%","20","","Copper Ingot","100%","10","","Part","100%","5","","Electronic Part","100%","1","","Power Cable","","","",""
"49%","0.64","Electric Furnace","720","240","Tech Level 2","","","2","Low","32%","16","","Steel Ingot","35%","7","","Copper Ingot","40%","4","","Part","40%","2","","Electronic Part","100%","1","","Power Cable","","","",""
"87%","0.91","Electric Furnace","720","240","Tech Level 2","","","2","Medium","82%","41","","Steel Ingot","95%","19","","Copper Ingot","60%","6","","Part","100%","5","","Electronic Part","100%","1","","Power Cable","","","",""
"91%","0.94","Electric Furnace","720","240","Tech Level 2","","","8","High","82%","41","","Steel Ingot","85%","17","","Copper Ingot","90%","9","","Part","100%","5","","Electronic Part","100%","1","","Power Cable","","","",""
"100%","0.00","Fusion Pod","720","240","Tech Level 2","","","0","Default","100%","20","","Steel Alloy","100%","20","","Part","100%","20","","Glass","100%","3","","Rubber","","","","","","","",""
"35%","0.35","Fusion Pod","720","240","Tech Level 2","","","2","Low","35%","7","","Steel Alloy","35%","7","","Part","35%","7","","Glass","33%","1","","Rubber","","","","","","","",""
"89%","0.89","Fusion Pod","720","240","Tech Level 2","","","2","Medium","85%","17","","Steel Alloy","85%","17","","Part","85%","17","","Glass","100%","3","","Rubber","","","","","","","",""
"100%","0.00","Large Water Filter","720","","Tech Level 2","","","0","Default","100%","10","","Steel Alloy","100%","20","","Part","100%","15","","Electronic Part","100%","20","","Adhesive","100%","10","","Rubber","100%","1","","Power Cable"
"47%","0.60","Large Water Filter","720","","Tech Level 2","","","2","Low","40%","4","","Steel Alloy","35%","7","","Part","33%","5","","Electronic Part","35%","7","","Adhesive","40%","4","","Rubber","100%","1","","Power Cable"
"84%","0.88","Large Water Filter","720","","Tech Level 2","","","2","Medium","90%","9","","Steel Alloy","85%","17","","Part","87%","13","","Electronic Part","85%","17","","Adhesive","60%","6","","Rubber","100%","1","","Power Cable"
"100%","0.00","Medium Garage","720","","Tech Level 2","","","0","Default","100%","38","","Steel Ingot","100%","15","","Part","100%","1","","Electronic Part","","","","","","","","","","","",""
"55%","0.55","Medium Garage","720","","Tech Level 2","","","2","Low","32%","12","","Steel Ingot","33%","5","","Part","100%","1","","Electronic Part","","","","","","","","","","","",""
"443%","4.43","Medium Garage","720","","Tech Level 2","","","2","Medium","103%","39","","Steel Ingot","127%","19","","Part","1100%","11","","Electronic Part","","","","","","","","","","","",""
"100%","0.00","Thermal Tower","720","","Tech Level 2","","","0","Default","100%","40","","Steel Alloy","100%","60","","Steel Ingot","100%","20","","Electronic Part","100%","30","","Metal Scrap","100%","10","","Storage Battery","","","",""
"35%","0.33","Thermal Tower","720","","Tech Level 2","","","2","Low","33%","13","","Steel Alloy","32%","19","","Steel Ingot","35%","7","","Electronic Part","33%","10","","Metal Scrap","40%","4","","Storage Battery","","","",""
"79%","0.83","Thermal Tower","720","","Tech Level 2","","","2","Medium","83%","33","","Steel Alloy","82%","49","","Steel Ingot","85%","17","","Electronic Part","83%","25","","Metal Scrap","60%","6","","Storage Battery","","","",""
"100%","0.00","Large Biomass Generator","575","240","Nope","","","0","Default","100%","30","","Steel Alloy","100%","15","","Part","100%","30","","Electronic Part","100%","15","","Plastic","100%","5","","Fuse","100%","1","","Diode"
"100%","0.00","Load Handling","260","40","Tech Level 2","","","0","Default","100%","3","","Rawhide","100%","10","","Stardust Source","100%","15","","Gold Ore","100%","15","","Rubber","","","","","","","",""
"35%","0.36","Load Handling","260","40","Tech Level 2","","","2","Low","33%","1","","Rawhide","40%","4","","Stardust Source","33%","5","","Gold Ore","33%","5","","Rubber","","","","","","","",""
"66%","0.76","Load Handling","260","40","Tech Level 2","","","2","Medium","67%","2","","Rawhide","130%","13","","Stardust Source","33%","5","","Gold Ore","33%","5","","Rubber","","","","","","","",""
"104%","1.14","Load Handling","260","40","Tech Level 2","","","4","Medium","33%","1","","Rawhide","130%","13","","Stardust Source","127%","19","","Gold Ore","127%","19","","Rubber","","","","","","","",""
"100%","0.00","Portable Thermostat","260","40","Tech Level 2","","","0","Default","100%","20","","Steel Ingot","100%","15","","Copper Ingot","100%","10","","Stardust Source","100%","10","","Electronic Part","100%","8","","Plastic","","","",""
"%","","Portable Thermostat","260","40","","","","2","","%","","","","%","","","","%","","","","%","","","","%","","","","","","",""
"","","Silver Ingot","260","40","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Snow Trekking Gear","260","40","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"100%","0.00","Solar Drill","260","","Tech Level 2","","","0","Default","100%","60","","Stardust Source","100%","40","","Gold Ore","100%","20","","Electronic Part","100%","20","","Part","100%","2","","Rawhide","100%","1","","Storage Battery"
"47%","0.35","Solar Drill","260","","Tech Level 2","","","2","Low","32%","19","","Stardust Source","33%","13","","Gold Ore","35%","7","","Electronic Part","35%","7","","Part","50%","1","","Rawhide","100%","1","","Storage Battery"
"64%","0.42","Solar Drill","260","","Tech Level 2","","","2","Medium","32%","19","","Stardust Source","33%","13","","Gold Ore","85%","17","","Electronic Part","85%","17","","Part","50%","1","","Rawhide","100%","1","","Storage Battery"
"47%","0.35","Solar Drill","260","","Tech Level 2","","","4","Medium","32%","19","","Stardust Source","33%","13","","Gold Ore","35%","7","","Electronic Part","35%","7","","Part","50%","1","","Rawhide","100%","1","","Storage Battery"
"100%","0.00","Special Storage Crate","185","125","Tech Level 2","","","0","Default","100%","30","","Copper Ingot","100%","15","","Rubber","100%","5","","Part","","","","","","","","","","","",""
"36%","0.36","Special Storage Crate","185","125","Tech Level 2","","","2","Low","33%","10","","Copper Ingot","33%","5","","Rubber","40%","2","","Part","","","","","","","","","","","",""
"100%","0.00","Advanced Recycling Tool","180","","Tech Level 2","","","0","Default","100%","15","","Steel Ingot","100%","5","","Metal Scrap","","","","","","","","","","","","","","","",""
"%","0.00","Advanced Recycling Tool","180","","Tech Level 2","","","2","Medium","%","","","Steel Ingot","%","","","Metal Scrap","","","","","","","","","","","","","","","",""
"37%","0.37","Advanced Recycling Tool","180","","Tech Level 2","","","2","Low","33%","5","","Steel Ingot","40%","2","","Metal Scrap","","","","","","","","","","","","","","","",""
"77%","0.77","Advanced Recycling Tool","180","","Tech Level 2","","","4","Medium","53%","8","","Steel Ingot","100%","5","","Metal Scrap","","","","","","","","","","","","","","","",""
"77%","0.77","Advanced Recycling Tool","180","","Tech Level 2","","","6","Medium","53%","8","","Steel Ingot","100%","5","","Metal Scrap","","","","","","","","","","","","","","","",""
"77%","0.77","Advanced Recycling Tool","180","","Tech Level 2","","","8","Medium","53%","8","","Steel Ingot","100%","5","","Metal Scrap","","","","","","","","","","","","","","","",""
"93%","0.93","Advanced Recycling Tool","180","","Tech Level 2","","","8","High","87%","13","","Steel Ingot","100%","5","","Metal Scrap","","","","","","","","","","","","","","","",""
"73%","0.73","Advanced Recycling Tool","180","","Tech Level 2","","","12","High","87%","13","","Steel Ingot","60%","3","","Metal Scrap","","","","","","","","","","","","","","","",""
"77%","0.77","Advanced Recycling Tool","180","","Tech Level 2","","","12","High","53%","8","","Steel Ingot","100%","5","","Metal Scrap","","","","","","","","","","","","","","","",""
"","","All-Weather Stew","180","25","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"100%","0.00","AP Ammo","180","1","Tech Level 2","","","0","Default","100%","7","","Tungsten Ingot","100%","20","","Stardust Source","100%","2","","Gunpowder","","","","","","","","","","","",""
"43%","0.40","AP Ammo","180","","Tech Level 2","","","2","Low","43%","3","","Tungsten Ingot","35%","7","","Stardust Source","50%","1","","Gunpowder","","","","","","","","","","","",""
"81%","0.85","AP Ammo","180","","Tech Level 2","","","2","Medium","57%","4","","Tungsten Ingot","85%","17","","Stardust Source","100%","2","","Gunpowder","","","","","","","","","","","",""
"81%","0.85","AP Ammo","180","","Tech Level 2","","","4","Medium","57%","4","","Tungsten Ingot","85%","17","","Stardust Source","100%","2","","Gunpowder","","","","","","","","","","","",""
"81%","0.85","AP Ammo","180","","Tech Level 2","","","6","High","57%","4","","Tungsten Ingot","85%","17","","Stardust Source","100%","2","","Gunpowder","","","","","","","","","","","",""
"","","Body Boost Feed","180","25","Tech Level 2","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"100%","0.00","Electric Rock Drill","180","25","Tech Level 2","","","0","Default","100%","50","","Steel Alloy","100%","20","","Part","100%","20","","Electronic Part","100%","20","","Fiber","100%","2","","Rawhide","100%","1","","Storage Battery"
"%","","Electric Rock Drill","180","25","","","","2","","%","","","","%","","","","%","","","","%","","","","%","","","","%","","",""
"100%","0.00","High Explosives","180","8","Tech Level 2","","","0","Default","100%","15","","Steel Alloy","100%","3","","Mixed Explosives","100%","10","","Rubber","100%","2","","Electronic Part","","","","","","","",""
"%","","High Explosives","180","8","","","","2","","%","","","","%","","","","%","","","","%","","","","","","","","","","",""
"100%","0.00","Logging Chainsaw","180","25","Tech Level 2","","","0","Default","100%","50","","Steel Alloy","100%","20","","Part","100%","20","","Electronic Part","100%","20","","Plastic","100%","2","","Rawhide","100%","1","","Storage Battery"
"%","","Logging Chainsaw","180","25","","","","2","","%","","","","%","","","","%","","","","%","","","","%","","","","%","","",""
"100%","0.00","Storage Terminal","165","85","Tech Level 2","","","0","Default","100%","30","","Steel Ingot","100%","20","","Copper Ingot","100%","20","","Part","100%","10","","Electronic Part","","","","","","","",""
"36%","0.36","Storage Terminal","165","85","Tech Level 2","","","2","Low","33%","10","","Steel Ingot","35%","7","","Copper Ingot","35%","7","","Part","40%","4","","Electronic Part","","","","","","","",""
"78%","0.78","Storage Terminal","165","85","Tech Level 2","","","2","Medium","83%","25","","Steel Ingot","85%","17","","Copper Ingot","85%","17","","Part","60%","6","","Electronic Part","","","","","","","",""
"100%","0.00","Advanced Gear Workbench","125","85","Tech Level 2","","","0","Default","100%","68","","Steel Ingot","100%","30","","Part","100%","12","","Plastic","100%","30","","Electronic Part","","","","","","","",""
"100%","0.00","Advanced Gear Workbench","125","85","Tech Level 2","","","2","Medium","100%","68","","Steel Ingot","100%","30","","Part","100%","12","","Plastic","100%","30","","Electronic Part","","","","","","","",""
"33%","0.33","Advanced Gear Workbench","125","85","Tech Level 2","","","2","Low","31%","21","","Steel Ingot","33%","10","","Part","33%","4","","Plastic","33%","10","","Electronic Part","","","","","","","",""
"100%","0.00","Advanced Gear Workbench","125","85","Tech Level 2","","","4","High","100%","68","","Steel Ingot","100%","30","","Part","100%","12","","Plastic","100%","30","","Electronic Part","","","","","","","",""
"100%","0.00","Advanced Supplies Workbench","125","85","Tech Level 2","","","0","Default","100%","50","","Steel Ingot","100%","20","","Part","100%","20","","Metal Scrap","100%","5","","Electronic Part","100%","15","","Rubber","","","",""
"100%","0.00","Advanced Supplies Workbench","125","85","Tech Level 2","","","2","Medium","100%","50","","Steel Ingot","100%","20","","Part","100%","20","","Metal Scrap","100%","5","","Electronic Part","100%","15","","Rubber","","","",""
"35%","0.35","Advanced Supplies Workbench","125","85","Tech Level 2","","","2","Low","32%","16","","Steel Ingot","35%","7","","Part","35%","7","","Metal Scrap","40%","2","","Electronic Part","33%","5","","Rubber","","","",""
"100%","0.00","Armor Storage Crate","125","85","Tech Level 2","","","0","Default","100%","15","","Steel Ingot","100%","10","","Copper Ingot","100%","10","","Part","","","","","","","","","","","",""
"%","","Armor Storage Crate","125","85","Tech Level 2","","","2","","%","","","","%","","","","%","","","","","","","","","","","","","","",""
"100%","0.00","Fridge","125","","Tech Level 2","","","0","Default","100%","30","","Steel Ingot","100%","15","","Iron Ingot","100%","20","","Electronic Part","100%","15","","Part","100%","10","","Glass","100%","1","","Power Cable"
"46%","0.59","Fridge","125","","Tech Level 2","","","2","Low","33%","10","","Steel Ingot","33%","5","","Iron Ingot","35%","7","","Electronic Part","33%","5","","Part","40%","4","","Glass","100%","1","","Power Cable"
"83%","0.87","Fridge","125","","Tech Level 2","","","2","Medium","83%","25","","Steel Ingot","87%","13","","Iron Ingot","85%","17","","Electronic Part","53%","8","","Part","90%","9","","Glass","100%","1","","Power Cable"
"83%","0.87","Fridge","125","","Tech Level 2","","","6","High","83%","25","","Steel Ingot","87%","13","","Iron Ingot","85%","17","","Electronic Part","53%","8","","Part","90%","9","","Glass","100%","1","","Power Cable"
"","","Reverse-Engineered Blueprint: Reinforced Support","125","85","Nope","","","0","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"100%","0.00","Small Hydropower Generator","125","85","Tech Level 2","","","0","Default","100%","150","","Steel Ingot","100%","15","","Part","100%","15","","Electronic Part","100%","15","","Plastic","100%","50","","Wood","100%","5","","Fuse"
"%","","Small Hydropower Generator","125","85","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","%","","","","%","","",""
"100%","0.00","Small Refinery Facility","125","85","Tech Level 2","","","0","Default","100%","35","","Steel Ingot","100%","15","","Copper Ingot","100%","10","","Part","100%","5","","Electronic Part","100%","1","","Power Cable","","","",""
"%","","Small Refinery Facility","125","85","","","","2","","%","","","","%","","","","%","","","","%","","","","%","","","","","","",""
"100%","0.00","Vending Machine","125","85","Tech Level 2","","","0","Default","100%","30","","Steel Ingot","100%","15","","Copper Ingot","100%","3","","Electronic Part","100%","8","","Part","100%","3","","Glass","100%","1","","Power Cable"
"%","","Vending Machine","125","85","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","%","","","","%","","",""
"100%","0.00","Water Pumps","125","","Tech Level 2","","","0","Default","100%","35","","Steel Ingot","100%","20","","Part","100%","20","","Electronic Part","100%","20","","Fiber","","","","","","","",""
"34%","0.34","Water Pumps","125","","Tech Level 2","","","2","Low","31%","11","","Steel Ingot","35%","7","","Part","35%","7","","Electronic Part","35%","7","","Fiber","","","","","","","",""
"84%","0.84","Water Pumps","125","","Tech Level 2","","","2","Medium","83%","29","","Steel Ingot","85%","17","","Part","85%","17","","Electronic Part","85%","17","","Fiber","","","","","","","",""
"77%","0.77","Water Pumps","125","","Tech Level 2","","","4","Medium","51%","18","","Steel Ingot","85%","17","","Part","85%","17","","Electronic Part","85%","17","","Fiber","","","","","","","",""
"72%","0.72","Water Pumps","125","","Tech Level 2","","","8","Medium","31%","11","","Steel Ingot","85%","17","","Part","85%","17","","Electronic Part","85%","17","","Fiber","","","","","","","",""
"100%","0.00","Weapon Storage Crate","125","85","Tech Level 2","","","0","Default","100%","15","","Steel Ingot","100%","10","","Copper Ingot","100%","10","","Part","","","","","","","","","","","",""
"%","","Weapon Storage Crate","125","85","Tech Level 2","","","2","","%","","","","%","","","","%","","","","","","","","","","","","","","",""
"","","Zipline","125","85","Nope","","","","Default","","","","","","","","","","","","","","","","","","","","","","","",""
"100%","0.00","Small Solar Generator","113","85","Tech Level 2","","","0","Default","100%","120","","Steel Ingot","100%","15","","Electronic Part","100%","15","","Part","100%","15","","Plastic","100%","15","","Glass","100%","3","","Fuse"
"%","","Small Solar Generator","113","85","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","%","","","","%","","",""
"100%","0.00","Advanced Stove","112","85","Tech Level 2","","","0","Default","100%","50","","Steel Ingot","100%","15","","Part","100%","10","","Metal Scrap","100%","10","","Electronic Part","100%","10","","Glass","100%","1","","Power Cable"
"74%","0.81","Advanced Stove","112","85","Tech Level 2","","","2","Medium","82%","41","","Steel Ingot","53%","8","","Part","60%","6","","Metal Scrap","90%","9","","Electronic Part","60%","6","","Glass","100%","1","","Power Cable"
"100%","0.00","Chaosium Lantern","30","8","Tech Level 2","","","0","Default","100%","10","","Steel Ingot","100%","5","","Sulfur","100%","10","","Metal Scrap","100%","15","","Glass","","","","","","","",""
"%","","Chaosium Lantern","30","8","Tech Level 2","","","2","","%","","","","%","","","","%","","","","%","","","","","","","","","","",""
"100%","0.00","Durable Healing Treatment","30","","Nope","","","0","Default","100%","3","","Stardust Source","100%","1","","Poly Detoxident","100%","1","?","Treatment","","","","","","","","","","","",""
